item_name,item_price
Cotton Wet Mop 16 Oz,623
"Wine - White, Ej",910
Lettuce - Green Leaf,1592
Eggroll,1871
Bread Base - Toscano,1832
"Wine - Red, Pinot Noir, Chateau",1049
Orange - Blood,904
Maple Syrup,1984
Broom - Angled,952
Triple Sec - Mcguinness,267
Cheese - Parmigiano Reggiano,1856
Cabbage - Green,1398
Durian Fruit,1909
Cookies Almond Hazelnut,1321
"Vermouth - White, Cinzano",630
Beer - Molson Excel,1353
"Basil - Primerba, Paste",141
"Tart Shells - Sweet, 4",1665
Water - Spring 1.5lit,543
Zucchini - Green,983
Skirt - 29 Foot,1488
Noodles - Steamed Chow Mein,1336
Tomato - Green,1409
Southern Comfort,1825
"Soup - Knorr, Country Bean",1344
Sole - Fillet,1458
Coffee - Hazelnut Cream,1670
Godiva White Chocolate,1502
"Pepper - White, Ground",615
"Soup - French Onion, Dry",1089
Venison - Striploin,475
"Cheese - Brie, Cups 125g",1006
V8 - Vegetable Cocktail,656
Mountain Dew,1721
Lady Fingers,431
Higashimaru Usukuchi Soy,1094
"Tart Shells - Sweet, 4",1335
Beef - Diced,1337
Beer - Tetleys,871
Wine - Rhine Riesling Wolf Blass,1691
Sping Loaded Cup Dispenser,226
Munchies Honey Sweet Trail Mix,1827
Oats Large Flake,1006
Cornstarch,753
Eggs - Extra Large,1155
Pie Filling - Pumpkin,1864
Mahi Mahi,1803
Cheese Cloth No 60,634
Syrup - Monin - Passion Fruit,1136
Chickhen - Chicken Phyllo,497
Lid Tray - 16in Dome,1921
"Wine - Magnotta - Red, Baco",1208
Sugar - Brown,1888
Clam - Cherrystone,1665
Initation Crab Meat,906
Hot Choc Vending,1253
Apple - Northern Spy,1256
Pickles - Gherkins,133
Rabbit - Whole,1609
"Tarragon - Primerba, Paste",982
"Juice - Clamato, 341 Ml",119
Fondant - Icing,1348
Soup - Campbells Chili Veg,1301
Bagel - Plain,1562
Chicken - Whole,1805
Sauce - Thousand Island,1219
Soap - Pine Sol Floor Cleaner,576
Rice - Basmati,777
Longos - Grilled Salmon With Bbq,1063
Coconut Milk - Unsweetened,642
Toamtoes 6x7 Select,1916
Sauce - Demi Glace,1946
"Beef - Kindney, Whole",1640
"Soup - Campbells, Beef Barley",1627
Creme De Menthe Green,1382
"Turkey - Breast, Double",951
Lobak,1493
Puree - Strawberry,530
"Squash - Pattypan, Yellow",320
Beef - Montreal Smoked Brisket,1792
Ice Cream - Vanilla,463
Flavouring - Rum,621
Transfer Sheets,1784
Appetizer - Shrimp Puff,1334
Laundry - Bag Cloth,942
French Kiss Vanilla,1461
"Pepper - Black, Whole",1985
"Sprite, Diet - 355ml",738
Shiratamako - Rice Flour,479
"Zucchini - Mini, Green",1529
Tuna - Fresh,831
Beans - Yellow,368
Cream - 10%,1218
Sobe - Tropical Energy,1787
Pork - Backs - Boneless,1337
"Bread - Sticks, Thin, Plain",1171
Milk 2% 500 Ml,578
Otomegusa Dashi Konbu,1208
Ecolab Digiclean Mild Fm,1807
Chef Hat 25cm,1730
Wine - Placido Pinot Grigo,1046
Pork - Smoked Back Bacon,880
Salt - Table,1488
Nantucket Pine Orangebanana,1615
Curry Paste - Green Masala,875
Beef - Top Sirloin,1873
"Iced Tea - Lemon, 340ml",887
"Rum - Light, Captain Morgan",1145
Mushroom - Portebello,1869
Wine - Rhine Riesling Wolf Blass,328
Oil - Shortening - All - Purpose,863
Duck - Breast,585
Parsnip,1434
Rice - Jasmine Sented,1830
"Turkey - Breast, Smoked",187
Dawn Professionl Pot And Pan,983
Milk - Buttermilk,1877
"Beef - Outside, Round",1773
Milk - Chocolate 500ml,1500
Pastry - Chocolate Marble Tea,1299
Jolt Cola,1592
"Croissant, Raw - Mini",1933
Oil - Cooking Spray,907
Cheese - Brie Roitelet,596
Energy Drink Bawls,1488
Phyllo Dough,1879
Tea - Grapefruit Green Tea,1540
Sproutsmustard Cress,1705
"Stock - Veal, Brown",907
Appetizer - Lobster Phyllo Roll,1416
Smoked Tongue,1930
Blueberries - Frozen,548
Cookie - Oreo 100x2,529
Beets - Mini Golden,1126
Sea Urchin,1057
Butcher Twine 4r,424
Nectarines,1873
"Wine - Red, Colio Cabernet",1288
Scallops - U - 10,371
Fondant - Icing,1851
Rye Special Old,316
Meldea Green Tea Liquor,735
Browning Caramel Glace,1963
Bread - Pumpernickel,1311
Lobster - Canned Premium,1576
Vinegar - Raspberry,1565
Wine - Chateau Aqueria Tavel,637
Ginsing - Fresh,1812
Longos - Greek Salad,462
Fib N9 - Prague Powder,1218
Pepper - Yellow Bell,1027
Wine - Cava Aria Estate Brut,1224
Bar Energy Chocchip,1835
"Beans - Navy, Dry",1351
Wasabi Powder,1615
Milk - Homo,391
Flour - Masa De Harina Mexican,1776
Steampan - Lid For Half Size,1989
Veal - Ground,1124
"Beans - Kidney, Red Dry",1650
Nut - Macadamia,1678
"Arctic Char - Fresh, Whole",1868
Venison - Liver,1549
"Cherries - Bing, Canned",357
Pear - Asian,1120
Oil - Peanut,1641
Cookies Oatmeal Raisin,280
"Pasta - Gnocchi, Potato",177
Carrots - Jumbo,1983
Dehydrated Kelp Kombo,822
Wine - Sake,314
Egg - Salad Premix,1513
Bread - Rosemary Focaccia,1677
Pasta - Cheese / Spinach Bauletti,1047
Ocean Spray - Ruby Red,1584
Milk - Chocolate 250 Ml,564
Olives - Nicoise,648
Juice - Orange,1233
Alize Sunset,1657
V8 - Berry Blend,1985
"Carrots - Mini, Stem On",1759
"Soup - Knorr, Chicken Gumbo",437
Pickle - Dill,868
Whmis Spray Bottle Graduated,397
Shrimp - Black Tiger 13/15,170
Squeeze Bottle,1179
Bread Crumbs - Japanese Style,1236
Mackerel Whole Fresh,1068
Muffin Hinge - 211n,1178
"Stock - Chicken, White",479
Sausage - Breakfast,904
Shichimi Togarashi Peppeers,383
Kellogs Raisan Bran Bars,1338
Wine - Prosecco Valdobiaddene,1889
Basil - Thai,1321
French Kiss Vanilla,1536
Chicken - Bones,623
Nantucket - Orange Mango Cktl,561
Cookie Double Choco,434
Cocoa Butter,178
Water - Spring 1.5lit,942
Beer - Labatt Blue,1121
Pork - Belly Fresh,178
Squash - Acorn,220
Dome Lid Clear P92008h,573
Rice - Brown,393
Halibut - Fletches,936
Cauliflower,988
Wine - Taylors Reserve,1593
"Veal - Inside, Choice",1691
Halibut - Fletches,1728
Salmon - Canned,228
Cocoa Feuilletine,553
Duck - Fat,1980
Spinach - Frozen,706
"Juice - V8, Tomato",1998
Kaffir Lime Leaves,1592
Vanilla Beans,782
Spice - Chili Powder Mexican,108
Appetizer - Crab And Brie,988
Kiwano,353
Madeira,278
Cheese - Cheddar With Claret,819
"Peas - Pigeon, Dry",1412
Beans - Butter Lrg Lima,955
Pumpkin - Seed,426
Ice Cream Bar - Rolo Cone,1847
Salt - Table,1880
Bread - Italian Corn Meal Poly,1897
Juice - Cranberry 284ml,663
Remy Red Berry Infusion,641
Beef Wellington,756
Soup Campbells Split Pea And Ham,667
Yams,1433
Arctic Char - Fillets,1493
"Napkin - Beverge, White 2 - Ply",1161
"Star Anise, Whole",807
Irish Cream - Baileys,968
Chip - Potato Dill Pickle,1449
Corn Syrup,1221
Chocolate Bar - Coffee Crisp,796
"Beef - Cooked, Corned",949
Beer - Creemore,583
Pepper - Jalapeno,1618
Lychee - Canned,1570
Pepper - Red Chili,1070
Horseradish - Prepared,1344
Truffle - Whole Black Peeled,1907
Cheese Cloth No 100,846
"Liners - Banana, Paper",1971
Sambuca - Opal Nera,562
Radish - Pickled,1935
Tart - Lemon,1334
Plastic Wrap,1776
"Beef - Rouladin, Sliced",176
Coconut - Whole,553
"Veal - Brisket, Provimi, Bone - In",1475
Cheese - Cambozola,995
Carbonated Water - Strawberry,1013
Pails With Lids,1946
Oil - Grapeseed Oil,1068
Ham - Proscuitto,226
"Juice - Apple, 500 Ml",1575
Dikon,1527
"Sparkling Wine - Rose, Freixenet",1509
Pork - European Side Bacon,1345
Dome Lid Clear P92008h,1313
Wine - Pinot Grigio Collavini,1384
Pepper - Red Bell,1062
Cumin - Ground,261
Juice - Mango,1439
"Pasta - Spaghetti, Dry",1798
Muffin - Mix - Bran And Maple 15l,1809
Mountain Dew,1557
Glaze - Apricot,706
Wasabi Paste,1040
Crackers - Water,1149
Broom - Angled,1044
"Beef - Tongue, Fresh",1523
Container - Clear 16 Oz,776
Shark - Loin,305
Flower - Potmums,1840
Sauce - Hp,1833
Sugar - Cubes,1068
Cake - Pancake,185
Coffee - Irish Cream,1828
Nantucket - Kiwi Berry Cktl.,594
Sugar - Palm,1486
Tahini Paste,1570
Apricots - Halves,910
Tomato - Plum With Basil,449
"Bread - Rolls, Rye",471
Ecolab Digiclean Mild Fm,1845
Creme De Menthe Green,175
"Cheese - Brie,danish",1138
Cheese Cloth No 100,814
Wine - Rosso Toscano Igt,502
"Rum - Cream, Amarula",444
Shichimi Togarashi Peppeers,842
Pastry - Mini French Pastries,900
Bananas,892
Corn Shoots,142
Thyme - Dried,1643
"Beef - Roasted, Cooked",636
Pork - Smoked Back Bacon,1343
Vaccum Bag - 14x20,1185
Compound - Passion Fruit,1217
Nantucket Apple Juice,1832
Cheese - Parmesan Cubes,1691
"Soup - Beef, Base Mix",1479
Nantucket - Carrot Orange,318
Tea - Orange Pekoe,1708
Corn Kernels - Frozen,928
"Mushroom - Enoki, Dry",895
Cookie Trail Mix,234
Apple - Royal Gala,168
Artichoke - Fresh,610
Salt - Seasoned,1721
Skirt - 24 Foot,795
Cranberries - Dry,1945
Shortbread - Cookie Crumbs,495
Wine - Fume Blanc Fetzer,1415
Sambuca - Ramazzotti,1210
"Soup - Canadian Pea, Dry Mix",877
Soup - Base Broth Chix,1993
Soup - Cream Of Broccoli,350
"Juice - Clamato, 341 Ml",778
Grapefruit - White,837
Cocktail Napkin Blue,1004
Chivas Regal - 12 Year Old,661
Marjoram - Fresh,754
Beef Striploin Aaa,1447
Pasta - Ravioli,778
Tandoori Curry Paste,1863
Scallops - U - 10,437
Lettuce - Lambs Mash,360
Sprouts Dikon,312
Tea Peppermint,1500
"Sauce - White, Mix",1117
Sultanas,100
Capers - Pickled,497
Fond - Chocolate,552
"Pasta - Penne, Lisce, Dry",1998
Turkey Leg With Drum And Thigh,334
Country Roll,815
"Water - Mineral, Natural",724
Pasta - Agnolotti - Butternut,1700
Dc Hikiage Hira Huba,577
"Pepper - Black, Crushed",775
Eggplant - Regular,1712
Mountain Dew,1913
Savory,812
Wine - Magnotta - Pinot Gris Sr,517
Gherkin - Sour,1242
Pepper - Pablano,1399
"Halibut - Whole, Fresh",1853
"Cheese - Cheddar, Mild",994
Bread - French Stick,1951
Wine - Beaujolais Villages,1112
"Coke - Diet, 355 Ml",180
Squid - Tubes / Tenticles 10/20,1356
Beans - Butter Lrg Lima,1156
"Crab - Blue, Frozen",1997
Juice Peach Nectar,673
Puree - Mango,1145
"Pasta - Lasagna, Dry",1874
"Tomatoes - Vine Ripe, Red",114
Goat - Whole Cut,328
Guava,1149
Orange - Tangerine,1326
Chocolate - Semi Sweet,1685
Blueberries,432
Towel Multifold,693
Pepper - Gypsy Pepper,897
Sausage - Liver,947
Beef - Tenderloin - Aa,1132
Wine - Fat Bastard Merlot,1005
"Pasta - Cannelloni, Sheets, Fresh",1249
Foil Cont Round,982
Wine - Acient Coast Caberne,1766
Onions - White,1114
Trout - Smoked,1036
Wine - Baron De Rothschild,203
"Cod - Salted, Boneless",953
Chicken - Soup Base,737
Wine - Duboeuf Beaujolais,897
Dry Ice,1912
Onions Granulated,1458
Grapes - Red,767
Hummus - Spread,617
Bread - Triangle White,924
Cilantro / Coriander - Fresh,883
Lettuce - Red Leaf,1467
Wine - Vovray Sec Domaine Huet,1965
Versatainer Nc - 8288,430
Carrots - Jumbo,1711
"Cheese - Cheddar, Old White",1126
Chicken - Soup Base,124
Appetizer - Tarragon Chicken,577
Bay Leaf Fresh,1170
Apricots - Halves,216
Wine - Vovray Sec Domaine Huet,643
"Salmon - Whole, 4 - 6 Pounds",953
Tomatillo,1578
Cucumber - Pickling Ontario,1747
Creme De Cacao White,1827
Egg - Salad Premix,1704
"Nut - Pistachio, Shelled",1484
Container - Foam Dixie 12 Oz,1770
Dawn Professionl Pot And Pan,1365
Quiche Assorted,641
The Pop Shoppe - Root Beer,652
Catfish - Fillets,1817
"Lamb - Leg, Diced",373
Myers Planters Punch,1933
Vinegar - Balsamic,1365
Nori Sea Weed - Gold Label,1880
Tomato Paste,1242
Sausage - Meat,438
Pastry - French Mini Assorted,996
Glycerine,1274
Sauce - Cranberry,1599
Wine - Chablis 2003 Champs,1129
"Pork - Bacon, Double Smoked",963
Tea - Honey Green Tea,1190
Cinnamon - Ground,1273
Milk Powder,206
Cream - 35%,120
Compound - Pear,417
Onions - Cippolini,1325
Sauce - Thousand Island,975
Cheese - Grie Des Champ,154
Carbonated Water - Blackcherry,1408
Straws - Cocktale,174
Muffin Mix - Lemon Cranberry,1380
Pears - Bartlett,220
The Pop Shoppe Pinapple,1404
"Juice - Orange, 341 Ml",361
Salmon Steak - Cohoe 6 Oz,1947
Sorrel - Fresh,190
Coffee - Ristretto Coffee Capsule,1698
Chips - Miss Vickies,1173
Pastry - Chocolate Marble Tea,127
Apples - Spartan,598
Beans - Kidney White,1580
Energy Drink Red Bull,872
Sea Urchin,1116
Flour Pastry Super Fine,670
Chocolate - White,1682
Lotus Root,361
Beer - Pilsner Urquell,1816
"Soup - Campbells, Beef Barley",841
"Soup - Knorr, Ministrone",1804
Tea - Apple Green Tea,1495
Cheese - Perron Cheddar,329
V8 Pet,780
"Brandy - Orange, Mc Guiness",1422
Bread - Calabrese Baguette,1563
Beef - Sushi Flat Iron Steak,762
Milk - 2% 250 Ml,987
Container - Hngd Cll Blk 7x7x3,1506
Pepper - Orange,1540
Rice - Aborio,621
Bagel - Sesame Seed Presliced,1957
Raspberries - Fresh,960
"Cheese - Mozzarella, Buffalo",845
"Trout - Rainbow, Fresh",1119
Longos - Grilled Veg Sandwiches,1708
Olives - Stuffed,652
Horseradish Root,1250
Wine - Beringer Founders Estate,828
Chicken - Tenderloin,1518
Cinnamon Buns Sticky,127
Wine - Lamancha Do Crianza,1975
"Soup - Canadian Pea, Dry Mix",350
Ham - Procutinni,1070
Glass Clear 7 Oz Xl,1686
Longos - Chicken Curried,1119
Wine - Chablis 2003 Champs,1940
Prunes - Pitted,112
Shortbread - Cookie Crumbs,754
Nutmeg - Ground,1329
Coriander - Ground,1348
Island Oasis - Raspberry,1947
Rosemary - Dry,1779
Pork Loin Bine - In Frenched,642
"Water - Spring Water, 355 Ml",761
Bread Sour Rolls,1528
Muffin - Blueberry Individual,763
Pork - Sausage Casing,118
Pork - Ham Hocks - Smoked,593
Curry Paste - Green Masala,1632
Broom - Push,989
Cinnamon Rolls,1738
"Crab - Claws, 26 - 30",720
Egg - Salad Premix,124
Tomatoes - Roma,817
Flour - Pastry,908
Cheese - Sheep Milk,1908
Pork - Sausage Casing,703
"Juice - Tomato, 10 Oz",683
Cake - Lemon Chiffon,105
Pears - Anjou,1943
"Red Snapper - Fillet, Skin On",904
Appetizer - Mango Chevre,755
"Pasta - Fettuccine, Dry",447
The Pop Shoppe - Cream Soda,817
"Ice - Clear, 300 Lb For Carving",640
"Sugar - Sweet N Low, Individual",1245
Goulash Seasoning,461
"Pepper - Chillies, Crushed",666
"Salmon - Atlantic, Fresh, Whole",1456
Cilantro / Coriander - Fresh,997
"Jam - Blackberry, 20 Ml Jar",717
Clams - Bay,592
Arizona - Green Tea,376
Calypso - Black Cherry Lemonade,1004
Soap - Hand Soap,1064
"Wine - White, Concha Y Toro",1473
Lettuce - Treviso,1121
Fruit Salad Deluxe,962
Coconut Milk - Unsweetened,688
Glove - Cutting,120
Chevril,1085
"Vodka - Hot, Lnferno",1821
"Wine - Red, Colio Cabernet",529
Table Cloth 120 Round White,637
White Fish - Filets,526
Dried Apple,853
Cornish Hen,1710
Chocolate Bar - Oh Henry,1652
Vodka - Smirnoff,522
Butcher Twine 4r,1535
Tea - Decaf Lipton,505
Flavouring Vanilla Artificial,688
Wine - Barbera Alba Doc 2001,1231
Bread - Olive Dinner Roll,1075
Energy - Boo - Koo,1653
Catfish - Fillets,1525
Ostrich - Fan Fillet,1009
"Soup - Canadian Pea, Dry Mix",1794
Nutmeg - Ground,1160
Pear - Asian,833
Vinegar - Balsamic,1546
Wine - Sake,1918
Orange Roughy 4/6 Oz,376
Mousse - Passion Fruit,960
Buffalo - Tenderloin,970
Bagel - Sesame Seed Presliced,1264
Cabbage - Savoy,933
Juice - Prune,643
Carbonated Water - Raspberry,362
Pork - Liver,115
Wine - Chianti Classico Riserva,1039
Pepper - Yellow Bell,1871
Veal - Sweetbread,375
"Cheese - Woolwich Goat, Log",574
Almonds Ground Blanched,1758
V8 Splash Strawberry Banana,1913
Juice - Prune,1390
Bok Choy - Baby,880
Longos - Lasagna Veg,392
"Mustard - Dry, Powder",1077
"Chocolate - Pistoles, Lactee, Milk",235
Coffee Swiss Choc Almond,510
Water - Spring Water 500ml,437
Sour Puss Raspberry,537
Beer - Blue,789
Vodka - Smirnoff,178
Gelatine Leaves - Bulk,698
Bread - Mini Hamburger Bun,602
Wine - Cousino Macul Antiguas,1650
Beer - Steamwhistle,1145
Flour - Strong Pizza,494
Cheese - Gouda,1571
Pate Pans Yellow,531
Mushroom Morel Fresh,493
Kippers - Smoked,1717
Wine - Chenin Blanc K.w.v.,752
